,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep1_M50,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep2_M51,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep3_M52,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep4_M53,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep5_M54,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep6_M55,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep1_M62,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep2_M63,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep3_M64,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep4_M65,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep5_M66,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep6_M67
ENSMUSG00000001576,1603,1486,1212,1252,1369,1602,1016,879,940,1003,1418,1681
ENSMUSG00000001583,1,2,1,2,4,3,3,2,3,1,3,1
ENSMUSG00000001588,0,0,0,0,0,0,1,0,0,0,1,0
ENSMUSG00000001604,8,17,15,5,9,8,11,9,13,7,4,15
ENSMUSG00000001622,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001627,333,347,337,406,482,408,327,213,259,337,558,416
ENSMUSG00000001630,303,297,351,336,354,299,270,251,289,270,397,385
ENSMUSG00000001632,464,395,444,412,444,488,269,241,280,328,481,483
ENSMUSG00000001642,281,248,297,196,242,239,201,193,203,211,268,306
ENSMUSG00000001655,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000001656,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001657,0,0,0,0,0,0,3,0,0,0,0,0
ENSMUSG00000001661,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001663,50,50,76,43,56,48,45,55,81,57,99,77
ENSMUSG00000001665,9,25,76,74,70,21,82,48,112,69,39,65
ENSMUSG00000001666,181,152,252,198,217,142,178,190,252,199,224,241
ENSMUSG00000001670,0,2,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000001672,5,3,7,2,6,2,11,3,9,4,2,7
ENSMUSG00000001674,237,175,162,164,194,141,109,158,141,133,187,240
ENSMUSG00000001687,1264,1344,1550,1548,1648,1262,1288,1431,1275,1480,1831,1811
ENSMUSG00000001700,187,154,208,225,249,173,184,216,212,216,305,243
ENSMUSG00000001707,116,81,140,83,132,123,113,155,125,140,146,152
ENSMUSG00000001729,1401,1125,1211,1267,1145,1273,961,919,938,1108,1298,1407
